state,latitude,longitude,population,gdp,unemployment_rate
Alabama,32.806671,-86.791130,4903185,211200,4.0
Alaska,61.370716,-152.404419,731545,54200,6.5
Arizona,33.729759,-111.431221,7278717,366600,4.2
Arkansas,34.969704,-92.373123,3017804,124800,4.3
California,36.116203,-119.681564,39512223,3200000,4.1
Colorado,39.059811,-105.311104,5758736,393200,2.9
Connecticut,41.597782,-72.755371,3565287,280800,4.5
Delaware,39.318523,-75.507141,973764,77100,3.5
Florida,27.766279,-81.686783,21477737,1117000,3.4
Georgia,33.040619,-83.643074,10617423,616100,3.8
Hawaii,21.094318,-157.498337,1415872,94700,2.7
Idaho,44.240459,-114.478828,1787065,84000,2.9
Illinois,40.349457,-88.986137,12671821,820400,4.3
Indiana,39.849426,-86.258278,6732219,371000,3.4
Iowa,42.011539,-93.210526,3155070,187300,3.0
Kansas,38.526600,-96.726486,2913314,157400,3.2
Kentucky,37.668140,-84.670067,4467673,215600,4.1
Louisiana,31.169546,-91.867805,4648794,230100,5.2
Maine,44.693947,-69.381927,1344212,73600,2.8
Maryland,39.063946,-76.802101,6045680,448100,3.7
Massachusetts,42.230171,-71.530106,6892503,670600,3.1
Michigan,43.326618,-84.536095,9986857,530800,4.9
Minnesota,45.694454,-93.900192,5639632,382200,3.2
Mississippi,32.741646,-89.678696,2976149,108800,5.4
Missouri,38.456085,-92.288368,6137428,318100,3.8
Montana,46.921925,-110.454353,1068778,48600,3.6
Nebraska,41.125370,-98.268082,1934408,122300,2.9
Nevada,38.313515,-117.055374,3080156,182700,4.1
New Hampshire,43.452492,-71.563896,1359711,92000,2.5
New Jersey,40.298904,-74.521011,8882190,644800,3.9
New Mexico,34.840515,-106.248482,2096829,96800,5.1
New York,42.165726,-74.948051,19453561,1603000,4.2
North Carolina,35.630066,-79.806419,10488084,609800,3.4
North Dakota,47.528912,-99.784012,762062,55800,2.6
Ohio,40.388783,-82.764915,11689100,703700,4.0
Oklahoma,35.565342,-96.928917,3956971,198700,3.5
Oregon,44.572021,-122.070938,4217737,257400,4.2
Pennsylvania,40.590752,-77.209755,12801989,813800,4.0
Rhode Island,41.680893,-71.511780,1059361,61500,3.3
South Carolina,33.856892,-80.945007,5148714,253800,3.2
South Dakota,44.299782,-99.438828,884659,52500,3.1
Tennessee,35.747845,-86.692345,6829174,372300,3.5
Texas,31.054487,-97.563461,28995881,1802300,3.4
Utah,40.150032,-111.862434,3205958,183500,2.5
Vermont,44.045876,-72.710686,623989,36600,2.4
Virginia,37.769337,-78.169968,8535519,568500,3.1
Washington,47.400902,-121.490494,7614893,547200,3.2
West Virginia,38.491226,-80.954456,1792147,76700,5.3
Wisconsin,44.268543,-89.616508,5822434,357800,3.0
Wyoming,42.755966,-107.302490,578759,39800,3.6
